episode_id	micro_scene_id	life_domain	governed_scene_family	discourse_family	five_w_one_h	target_relations	support_language	review_status	source_fact_lineage	passage
U04-NEB-E025	U04-NEB-MS09	SCHOOL	SCHOOL_CLASSROOM_LEARNING	SIMPLE_SEQUENCE	WHO,WHAT,WHERE,HOW	in,inside,on,under	and	PASS_GPT5_6_SOL_DIRECT_REVIEW	Ava in art room; brushes inside cup; paper on table; paint box under table; pictures on wall	Ava is in the art room. She puts the paper on the table and keeps the paint brushes inside a cup. The paint box is under the table, and two finished pictures are on the wall.
U04-NEB-E026	U04-NEB-MS09	SCHOOL	SCHOOL_CLASSROOM_LEARNING	GETTING_READY	WHO,WHAT,WHERE,WHY,HOW	inside,on,under	and,while,get ready	PASS_GPT5_6_SOL_DIRECT_REVIEW	brushes inside cup; paper on table; paint box under table; pictures on wall	Ava is getting ready to paint. The paper is on the table, and the brushes are inside a cup. She reaches under the table for the paint box while two pictures hang on the wall.
U04-NEB-E027	U04-NEB-MS09	SCHOOL	SCHOOL_CLASSROOM_LEARNING	GIVING_LOCATION	WHO,WHAT,WHERE	inside,on,under	and	PASS_GPT5_6_SOL_DIRECT_REVIEW	brushes inside cup; paper on table; paint box under table; pictures on wall	Ava tells a friend where the art things are. The brushes are inside the cup, the paper is on the table, and the paint box is under it. The finished pictures are on the wall.
U04-NEB-E028	U04-NEB-MS10	PARK	PARK_GARDEN_NATURE	SCENE_DESCRIPTION	WHO,WHAT,WHERE	at,on,behind,between,near	and,while	PASS_GPT5_6_SOL_DIRECT_REVIEW	children at playground; girl on swing; boy behind slide; ball between children; bags near bench	Two children are at the playground. The girl is on the swing, and the boy is behind the slide. Their ball is between them, while their bags are near a bench.
U04-NEB-E029	U04-NEB-MS10	PARK	PARK_GARDEN_NATURE	PLAYING_GAME	WHO,WHAT,WHERE,HOW	at,between,near,behind	and,while,next	PASS_GPT5_6_SOL_DIRECT_REVIEW	children at playground; ball between them; girl near swing; boy behind slide	The children are playing at the playground. Their ball is between them, ready for the next kick. The girl is near the swing, while the boy is behind the slide waiting for his turn.
U04-NEB-E030	U04-NEB-MS10	PARK	PARK_GARDEN_NATURE	DEPARTURE	WHO,WHAT,WHERE,WHEN,WHY	near,between,behind,on	still,while,almost	PASS_GPT5_6_SOL_DIRECT_REVIEW	bags near bench; ball between children; boy behind slide; girl on swing	It is almost time to leave the playground. The bags are still near the bench, and the ball is between the two children. The boy is behind the slide, while the girl is still on the swing.
U04-NEB-E031	U04-NEB-MS11	PARK	FOOD_CAFE_PICNIC	DAILY_ROUTINE	WHO,WHAT,WHERE,WHEN	at,under,on,inside,near	and,while,for a picnic	PASS_GPT5_6_SOL_DIRECT_REVIEW	family at park; mat under tree; basket on mat; bottles inside basket; dog near family	A family is at the park for a picnic. Their mat is under a tree, and a basket is on the mat. Two bottles are inside the basket, while the dog stays near the family.
U04-NEB-E032	U04-NEB-MS11	PARK	FOOD_CAFE_PICNIC	FINDING_SOMETHING	WHO,WHAT,WHERE,WHY,HOW	under,on,inside,near	inside,and,look	PASS_GPT5_6_SOL_DIRECT_REVIEW	mat under tree; basket on mat; bottles inside basket; dog near family	The family wants a drink. The basket is on the picnic mat under the tree. They look inside the basket and find two bottles there. The dog waits near them.
U04-NEB-E033	U04-NEB-MS11	PARK	FOOD_CAFE_PICNIC	PICTURE_OBSERVATION	WHO,WHAT,WHERE	under,on,inside,near	with,and	PASS_GPT5_6_SOL_DIRECT_REVIEW	mat under tree; basket on mat; bottles inside basket; dog near family	The picnic area is easy to see. A mat is under the tree, with a basket on it. Two bottles are inside the basket, and the family dog is near them.
U04-NEB-E034	U04-NEB-MS12	PARK	PARK_GARDEN_NATURE	PICTURE_OBSERVATION	WHO,WHAT,WHERE	in,between,near,behind	and,with	PASS_GPT5_6_SOL_DIRECT_REVIEW	Nina in garden; pond between trees; bench near pond; ducks in pond; bridge behind bench	Nina is in the garden. A pond lies between two trees, and three ducks are in the water. A bench is near the pond, with a small bridge behind it.
U04-NEB-E035	U04-NEB-MS12	PARK	PARK_GARDEN_NATURE	ARRIVAL	WHO,WHAT,WHERE,WHEN	between,in,behind,near	and,with	PASS_GPT5_6_SOL_DIRECT_REVIEW	pond between trees; ducks in pond; bridge behind bench; bench near pond	Nina walks into the garden and looks around. The pond is between two trees, and three ducks are in it. A bench is near the pond, with a small bridge behind it.
U04-NEB-E036	U04-NEB-MS12	PARK	PARK_GARDEN_NATURE	MEMORY_RECALL	WHO,WHAT,WHERE,HOW	between,near,behind,in	and,also,remember	PASS_GPT5_6_SOL_DIRECT_REVIEW	pond between trees; bench near pond; bridge behind bench; ducks in pond	Nina remembers the garden well. The pond is between two trees, the bench is near the water, and the small bridge is behind the bench. She also remembers the three ducks in the pond.
U04-NEB-E037	U04-NEB-MS13	SHOP	SHOP_MONEY_SERVICES	SHOPPING	WHO,WHAT,WHERE,WHY	in,inside,on,near	and,while,next to	PASS_GPT5_6_SOL_DIRECT_REVIEW	Tom in grocery shop; apples inside basket; bread on shelf; milk next to juice; bag near feet	Tom is in a grocery shop. The apples are inside a basket, and the bread is on a shelf. The milk is next to the juice, while Tom's bag is near his feet.
U04-NEB-E038	U04-NEB-MS13	SHOP	SHOP_MONEY_SERVICES	FINDING_SOMETHING	WHO,WHAT,WHERE,WHY,HOW	inside,on,near	look for,and,then,next to	PASS_GPT5_6_SOL_DIRECT_REVIEW	apples inside basket; bread on shelf; milk next to juice; bag near feet	Tom is looking for bread. He passes a basket with apples inside it and sees milk next to the juice. Then he finds the bread on a shelf. His bag stays near his feet.
U04-NEB-E039	U04-NEB-MS13	SHOP	SHOP_MONEY_SERVICES	ASKING_LOCATION	WHO,WHAT,WHERE,WHY	on,near	so,and,next to	PASS_GPT5_6_SOL_DIRECT_REVIEW	bread on shelf; milk next to juice; bag near feet	Tom cannot see the milk, so he asks a shop worker. She points to the juice and says the milk is next to it. The bread is on a shelf, and his bag is near his feet.
U04-NEB-E040	U04-NEB-MS14	SHOP	SHOP_MONEY_SERVICES	SCENE_DESCRIPTION	WHO,WHAT,WHERE	in,between,on,near,under	and,while	PASS_GPT5_6_SOL_DIRECT_REVIEW	Ella in bookshop; red book between blue books; comic on shelf; chair near window; box under table	Ella is in the bookshop. A red book is between two blue books, and a comic is on the top shelf. A reading chair is near the window, while a box is under a small table.
U04-NEB-E041	U04-NEB-MS14	SHOP	SHOP_MONEY_SERVICES	CHOICE	WHO,WHAT,WHERE,WHY	between,on,near	and,while	PASS_GPT5_6_SOL_DIRECT_REVIEW	red book between blue books; comic on shelf; chair near window	Ella is choosing a book. She sees the red book between two blue books and a comic on the top shelf. She sits in the chair near the window while she decides.
U04-NEB-E042	U04-NEB-MS14	SHOP	SHOP_MONEY_SERVICES	PICTURE_OBSERVATION	WHO,WHAT,WHERE,HOW	between,under,near	and,look around	PASS_GPT5_6_SOL_DIRECT_REVIEW	red book between blue books; box under table; chair near window	Ella looks around the bookshop. The red book is between two blue books, and the box is under the small table. A reading chair is near the window.
U04-NEB-E043	U04-NEB-MS15	SHOP	CLOTHING_PERSONAL_ITEMS	SHOPPING	WHO,WHAT,WHERE,WHY	in,on,under,behind,between	and,while	PASS_GPT5_6_SOL_DIRECT_REVIEW	Jack in clothes shop; coat on rack; shoes under bench; mirror behind Jack; hat between bags	Jack is in a clothes shop. A blue coat is on a rack, and the shoes are under a bench. A mirror is behind Jack, while a hat is between two bags.
U04-NEB-E044	U04-NEB-MS15	SHOP	CLOTHING_PERSONAL_ITEMS	CHOICE	WHO,WHAT,WHERE,WHY,HOW	on,behind,between	and,so,turn around	PASS_GPT5_6_SOL_DIRECT_REVIEW	coat on rack; mirror behind Jack; hat between bags	Jack wants something warm to wear. He sees a blue coat on the rack and a hat between two bags. The mirror is behind him, so he turns around to check the coat.
U04-NEB-E045	U04-NEB-MS15	SHOP	CLOTHING_PERSONAL_ITEMS	ASKING_LOCATION	WHO,WHAT,WHERE,WHY	under,on,between	and,still	PASS_GPT5_6_SOL_DIRECT_REVIEW	shoes under bench; coat on rack; hat between bags	Jack asks where the shoes are. The shop worker points to the bench, and Jack sees them under it. The blue coat is still on the rack, and the hat is between two bags.
U04-NEB-E046	U04-NEB-MS16	TRANSPORT	TRANSPORT_TRAVEL	WAITING	WHO,WHAT,WHERE,WHEN,WHY	at,on,near	and,in the morning,in front of	PASS_GPT5_6_SOL_DIRECT_REVIEW	Maya at bus stop; backpack on bench; timetable on wall; bin near bench; bus in front of stop	Maya is at the bus stop in the morning. Her backpack is on the bench, and the timetable is on the wall. A bin is near the bench, and the bus is in front of the stop.
U04-NEB-E047	U04-NEB-MS16	TRANSPORT	TRANSPORT_TRAVEL	CHECKING_INFORMATION	WHO,WHAT,WHERE,WHY,HOW	on,near	before,and,until,in front of	PASS_GPT5_6_SOL_DIRECT_REVIEW	timetable on wall; backpack on bench; bin near bench; bus in front of stop	Maya checks the bus time before school. The timetable is on the wall, and her backpack is on the bench. A bin is near the bench. She waits until the bus arrives in front of the stop.
U04-NEB-E048	U04-NEB-MS16	TRANSPORT	TRANSPORT_TRAVEL	DEPARTURE	WHO,WHAT,WHERE,WHEN	at,on	and,in front of	PASS_GPT5_6_SOL_DIRECT_REVIEW	Maya at bus stop; backpack on bench; timetable on wall; bus in front of stop	The bus is ready to leave. Maya is at the stop, and her backpack is on the bench. The timetable is on the wall, and the bus is in front of the stop.
U04-NEB-E049	U04-NEB-MS17	TRANSPORT	TRANSPORT_TRAVEL	ARRIVAL	WHO,WHAT,WHERE,WHEN	at,near,on,inside	next to,and,there is	PASS_GPT5_6_SOL_DIRECT_REVIEW	Owen at station; suitcase next to him; machine near entrance; clock on wall; cafe inside station	Owen is at the train station early. His suitcase is next to him, and a ticket machine is near the entrance. A clock is on the wall, and there is a small cafe inside the station.
U04-NEB-E050	U04-NEB-MS17	TRANSPORT	TRANSPORT_TRAVEL	FINDING_SOMETHING	WHO,WHAT,WHERE,WHY,HOW	near,on,inside	before,and,next to	PASS_GPT5_6_SOL_DIRECT_REVIEW	suitcase next to Owen; machine near entrance; clock on wall; cafe inside station	Owen needs a ticket before the train arrives. He sees the machine near the entrance and keeps his suitcase next to him. The clock is on the wall, and the cafe is inside the station.
U04-NEB-E051	U04-NEB-MS17	TRANSPORT	TRANSPORT_TRAVEL	WAITING	WHO,WHAT,WHERE,WHEN,WHY	near,on,inside	while,next to,and	PASS_GPT5_6_SOL_DIRECT_REVIEW	suitcase next to Owen; machine near entrance; clock on wall; cafe inside station	Owen is waiting for his train. His suitcase stays next to him while he looks at the clock on the wall. The cafe is inside the station, and the ticket machine is near the entrance.
U04-NEB-E052	U04-NEB-MS18	TRANSPORT	TRANSPORT_TRAVEL	ARRIVAL	WHO,WHAT,WHERE,WHEN	at,between,near,inside,behind	after,and,while	PASS_GPT5_6_SOL_DIRECT_REVIEW	family at parking area; car between white cars; trolley near car; bags inside car; Dad behind car	A family is at the parking area after shopping. Their car is between two white cars, and a trolley is near it. Two bags are inside the car, while Dad is behind it closing the boot.
U04-NEB-E053	U04-NEB-MS18	TRANSPORT	TRANSPORT_TRAVEL	FINDING_SOMETHING	WHO,WHAT,WHERE,WHY,HOW	between,near,behind,inside	look for,with,and,already	PASS_GPT5_6_SOL_DIRECT_REVIEW	car between white cars; trolley near car; Dad behind car; bags inside car	The family is looking for their car. It is between two white cars, with a trolley near it. Dad walks behind the car and sees the bags already inside the car.
U04-NEB-E054	U04-NEB-MS18	TRANSPORT	TRANSPORT_TRAVEL	DEPARTURE	WHO,WHAT,WHERE,WHEN,WHY	inside,behind,between,near	and,with,go home	PASS_GPT5_6_SOL_DIRECT_REVIEW	bags inside car; Dad behind car; car between white cars; trolley near car	The family is ready to go home. The bags are inside the car, and Dad is behind it for one last check. Their car is between two white cars, with the trolley near the car.
U04-NEB-E055	U04-NEB-MS19	PUBLIC_PLACE	FOOD_CAFE_PICNIC	SCENE_DESCRIPTION	WHO,WHAT,WHERE	at,on,under,between	and,while,in front of	PASS_GPT5_6_SOL_DIRECT_REVIEW	Grace at cafe; cup on table; bag under chair; menu between cup and plate; counter in front of kitchen	Grace is at a cafe. Her cup is on the table, and her bag is under the chair. A menu is between the cup and a plate, while the counter is in front of the kitchen.
U04-NEB-E056	U04-NEB-MS19	PUBLIC_PLACE	FOOD_CAFE_PICNIC	FINDING_SOMETHING	WHO,WHAT,WHERE,WHY,HOW	on,under,between	again,and,in front of	PASS_GPT5_6_SOL_DIRECT_REVIEW	cup on table; bag under chair; menu between cup and plate; counter in front of kitchen	Grace wants to check the menu again. It is between her cup and the plate on the table. Her bag is under the chair, and the counter is in front of the kitchen.
U04-NEB-E057	U04-NEB-MS19	PUBLIC_PLACE	FOOD_CAFE_PICNIC	DEPARTURE	WHO,WHAT,WHERE,WHEN,WHY	on,under,between	still,but,before	PASS_GPT5_6_SOL_DIRECT_REVIEW	cup on table; bag under chair; menu between cup and plate	Grace is ready to leave the cafe. Her cup is still on the table, but her bag is under the chair. She checks between the cup and the plate for the menu before she stands up.
U04-NEB-E058	U04-NEB-MS20	PUBLIC_PLACE	TOWN_PUBLIC_PLACES	ARRIVAL	WHO,WHAT,WHERE,WHEN	at,inside,near,on	and,with,in front of	PASS_GPT5_6_SOL_DIRECT_REVIEW	Sam at museum; map inside bag; ticket desk near entrance; picture on wall; statues in front of stairs	Sam is at the museum with his family. A map is inside his bag, and the ticket desk is near the entrance. A large picture is on the wall, and two statues are in front of the stairs.
U04-NEB-E059	U04-NEB-MS20	PUBLIC_PLACE	TOWN_PUBLIC_PLACES	FINDING_SOMETHING	WHO,WHAT,WHERE,WHY,HOW	inside,near	and,while,in front of	PASS_GPT5_6_SOL_DIRECT_REVIEW	map inside bag; ticket desk near entrance; statues in front of stairs	Sam needs the museum map. He opens his bag and finds the map inside it. The ticket desk is near the entrance, while two statues are in front of the stairs.
U04-NEB-E060	U04-NEB-MS20	PUBLIC_PLACE	TOWN_PUBLIC_PLACES	PICTURE_OBSERVATION	WHO,WHAT,WHERE	at,on,near	and,in front of	PASS_GPT5_6_SOL_DIRECT_REVIEW	Sam at museum entrance; picture on wall; statues in front of stairs; ticket desk near door	At the museum entrance, Sam notices several things. A large picture is on the wall, two statues are in front of the stairs, and the ticket desk is near the door.
U04-NEB-E061	U04-NEB-MS21	PUBLIC_PLACE	TOWN_PUBLIC_PLACES	WAITING	WHO,WHAT,WHERE,WHY	at,on,inside,behind	with,next to,and,while	PASS_GPT5_6_SOL_DIRECT_REVIEW	Ivy at clinic; mother next to her; magazine on table; bottle inside bag; nurse behind desk	Ivy is at the clinic with her mother. Her mother is next to her, and a magazine is on the small table. A water bottle is inside Ivy's bag, while the nurse is behind the desk.
U04-NEB-E062	U04-NEB-MS21	PUBLIC_PLACE	TOWN_PUBLIC_PLACES	FINDING_SOMETHING	WHO,WHAT,WHERE,WHY,HOW	inside,behind	while,so,next to,and	PASS_GPT5_6_SOL_DIRECT_REVIEW	mother next to Ivy; bottle inside bag; nurse behind desk	Ivy feels thirsty while she waits. The water bottle is inside her bag, so she takes it out. Her mother is next to her, and the nurse is behind the desk.
U04-NEB-E063	U04-NEB-MS21	PUBLIC_PLACE	TOWN_PUBLIC_PLACES	PICTURE_OBSERVATION	WHO,WHAT,WHERE	on,inside,behind	with,and	PASS_GPT5_6_SOL_DIRECT_REVIEW	magazine on table; bottle inside bag; nurse behind desk	The clinic is quiet. Ivy and her mother sit together, with the magazine on a small table. The nurse is behind the desk, and Ivy's water bottle is inside her bag.
U04-NEB-E064	U04-NEB-MS22	FOOD	KITCHEN_DINING	DAILY_ROUTINE	WHO,WHAT,WHERE,WHEN	at,on,between,near	before,and,next to,while	PASS_GPT5_6_SOL_DIRECT_REVIEW	Max at breakfast table; bowl on table; spoon next to bowl; banana between bowl and cup; bag near door	Max is at the breakfast table before school. His bowl is on the table, and a spoon is next to it. A banana is between the bowl and a cup, while his school bag is near the door.
U04-NEB-E065	U04-NEB-MS22	FOOD	KITCHEN_DINING	GETTING_READY	WHO,WHAT,WHERE,WHEN,WHY	on,near	and,still,next to,so,get ready	PASS_GPT5_6_SOL_DIRECT_REVIEW	bowl on table; spoon next to bowl; bag near door	Max finishes breakfast and gets ready to leave. The bowl is still on the table, with the spoon next to it. His school bag is near the door, so he can pick it up on the way out.
U04-NEB-E066	U04-NEB-MS22	FOOD	KITCHEN_DINING	CHOICE	WHO,WHAT,WHERE,WHY	on,between	and,next to,before	PASS_GPT5_6_SOL_DIRECT_REVIEW	bowl on table; spoon next to bowl; banana between bowl and cup	Max looks at the food on the table. The banana is between his bowl and the cup, and the spoon is next to the bowl. He chooses the banana before he leaves for school.
U04-NEB-E067	U04-NEB-MS23	FOOD	FOOD_CAFE_PICNIC	SCENE_DESCRIPTION	WHO,WHAT,WHERE	at,inside,on,between,under	and,while	PASS_GPT5_6_SOL_DIRECT_REVIEW	Zoe at picnic table; sandwiches inside lunch box; apples on plate; bottle between cups; lunch box under bag	Zoe is at a picnic table. The sandwiches are inside a lunch box, and the apples are on a plate. A bottle is between two cups, while the lunch box is under a small bag.
U04-NEB-E068	U04-NEB-MS23	FOOD	FOOD_CAFE_PICNIC	FINDING_SOMETHING	WHO,WHAT,WHERE,WHY,HOW	inside,on,under	and	PASS_GPT5_6_SOL_DIRECT_REVIEW	sandwiches inside lunch box; apples on plate; lunch box under bag	Zoe wants a sandwich. She finds the lunch box under a small bag and opens it. The sandwiches are inside the lunch box, and the apples are on a plate.
U04-NEB-E069	U04-NEB-MS23	FOOD	FOOD_CAFE_PICNIC	SIMPLE_SEQUENCE	WHO,WHAT,WHERE,HOW	on,between,inside	first,then,and	PASS_GPT5_6_SOL_DIRECT_REVIEW	apples on plate; bottle between cups; sandwiches inside lunch box	Zoe gets the picnic food ready. First, she puts the apples on a plate. Then she places a bottle between two cups and keeps the sandwiches inside the lunch box.
