pku_id,source_transcript_id,knowledge_mode,knowledge_type,concept_label,pedagogical_concept_id,cefr_decision,skill_scope,teaching_roles,authority_refs,lesson_mapping_status,review_status,operator_confirmation,disposition,risk_flags,evidence_anchor,operator_decision,operator_notes
KET99-P006-PKU05,P006,LEARNER_LANGUAGE,COMMUNICATIVE_FUNCTION,Use be for age nationality job feeling time and location,FUNCTION.DESCRIBE_STATE_WITH_BE,ADMITTED_A1,SPEAKING|WRITING,FOCUS|TRANSFER,GRAMMAR_BE_VERB_BASIC,EXACT_AUTHORITY_JOIN_READY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,six use contexts are listed for present be,,
KET99-P006-PKU06,P006,LEARNER_LANGUAGE,GRAMMAR_FORM,Use present simple for habits and regular facts,GRAMMAR.PRESENT_SIMPLE.HABIT_AND_FACT,ADMITTED_A1_PLUS,SPEAKING|WRITING,FOCUS|PRACTICE,GRAMMAR_PRESENT_SIMPLE_BASIC_STATEMENTS,EXACT_AUTHORITY_JOIN_READY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,the source contrasts states with regular actions,,
KET99-P006-PKU07,P006,TEACHER_METHOD,TEACHING_ROUTINE,Predict personal facts from pictures then listen and check,TEACHING.PICTURE_PREDICTION_THEN_AUDIO_CHECK,ADMITTED_A1_PLUS,LISTENING|SPEAKING,INTRO|PRACTICE,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,describe Adrian and Marcia from pictures before checking with audio,,
KET99-P008-PKU01,P008,LEARNER_SKILL,READING_STRATEGY,Read questions before reading the texts,READING.READ_QUESTION_BEFORE_TEXT,ADMITTED_A1_PLUS,READING,SUPPORT|PRACTICE,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,take the questions into the reading before scanning the texts,,
KET99-P008-PKU02,P008,LEARNER_SKILL,READING_STRATEGY,Underline decisive words in a question,READING.UNDERLINE_QUESTION_KEYWORDS,ADMITTED_A1_PLUS,READING,FOCUS|PRACTICE|REMEDIATION,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,does not like sport oldest pet country and can play are marked,,
KET99-P008-PKU03,P008,LEARNER_SKILL,READING_STRATEGY,Locate evidence and eliminate incorrect options,READING.LOCATE_AND_ELIMINATE_WITH_EVIDENCE,ADMITTED_A1_PLUS,READING,FOCUS|PRACTICE|REMEDIATION,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,exact source sentences prove or exclude people,,
KET99-P008-PKU04,P008,LEARNER_SKILL,READING_STRATEGY,Recognize paraphrased meaning,READING.MATCH_PARAPHRASED_MEANING,ADMITTED_A1_PLUS,READING,FOCUS|PRACTICE|TRANSFER,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,hope to study there is matched to wanting to go to university,,
KET99-P008-PKU05,P008,ERROR_REPAIR,ERROR_PATTERN,Distinguish ownership desire and ability details,READING.ERROR_DETAIL_RELATIONSHIP_CONFUSION,ADMITTED_A1_PLUS,READING,ERROR_REPAIR|REMEDIATION,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,"friend versus speaker, has versus wants, can versus likes",,
KET99-P008-PKU06,P008,LEARNER_LANGUAGE,GRAMMAR_FORM,Order and position common frequency adverbs,GRAMMAR.FREQUENCY_ADVERB_SCALE_AND_POSITION,ADMITTED_A1_PLUS,READING|WRITING|SPEAKING,FOCUS|PRACTICE|ERROR_REPAIR,GRAMMAR_ADVERB_PHRASES_A1,EXACT_AUTHORITY_JOIN_READY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,always to never; after be and before lexical verbs,,
KET99-P008-PKU07,P008,EXAM_PROCEDURE,EXAM_TASK_PROCEDURE,KET Reading Part 2 three-text matching procedure,EXAM.KET_READING_PART2_THREE_TEXT_MATCHING,REJECTED_EXAM_PROCEDURE_ONLY,READING,EXAM_PREPARATION,,NOT_ELIGIBLE,AI_ASSISTED_MANUAL_REVIEWED,PENDING,REJECTED_EXAM_PROCEDURE_ONLY,OFFICIAL_EXAM_FORMAT_VERIFICATION_REQUIRED,the source teaches the number of texts questions and matching process,,
KET99-P023-PKU01,P023,LEARNER_SKILL,SPEAKING_SKILL,Maintain paired turn-taking in a short discussion,SPEAKING.MAINTAIN_PAIRED_TURN_TAKING,ADMITTED_A1_PLUS,SPEAKING,FOCUS|PRACTICE|TRANSFER,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,two learners exchange questions answers and follow-up turns,,
KET99-P023-PKU02,P023,LEARNER_LANGUAGE,COMMUNICATIVE_FUNCTION,Ask whether a partner likes an activity or place,FUNCTION.ASK_LIKES_WITH_DO_YOU_LIKE,ADMITTED_A1_PLUS,SPEAKING|WRITING,FOCUS|PRACTICE,GRAMMAR_PRESENT_SIMPLE_YES_NO_QUESTIONS,EXACT_AUTHORITY_JOIN_READY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,Do you like eating in restaurants is a reusable frame,,
KET99-P023-PKU03,P023,LEARNER_LANGUAGE,COMMUNICATIVE_FUNCTION,Ask for and give a simple opinion,FUNCTION.ASK_AND_GIVE_SIMPLE_OPINION,ADMITTED_A1_PLUS,SPEAKING,FOCUS|PRACTICE,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,Do you think plus I think I like I prefer,,
KET99-P023-PKU04,P023,LEARNER_SKILL,SPEAKING_SKILL,Use why after positive and why not after negative answers,SPEAKING.SELECT_WHY_OR_WHY_NOT_FOLLOWUP,ADMITTED_A1_PLUS,SPEAKING,FOCUS|PRACTICE|ERROR_REPAIR,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,yes I do is followed by why; I do not like by why not,,
KET99-P023-PKU05,P023,LEARNER_LANGUAGE,GRAMMAR_FORM,Give a simple reason with because,GRAMMAR.BECAUSE_SIMPLE_REASON,ADMITTED_A1_PLUS,SPEAKING|WRITING,FOCUS|PRACTICE|TRANSFER,GRAMMAR_BECAUSE_REASON_CLAUSES_A1,EXACT_AUTHORITY_JOIN_READY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,because different food is available or family cooking is preferred,,
KET99-P023-PKU06,P023,TEACHER_METHOD,TEACHING_ROUTINE,Prewrite useful sentence frames before speaking,TEACHING.PREWRITE_SPEAKING_FRAMES,ADMITTED_A1_PLUS,SPEAKING|WRITING,SUPPORT|PRACTICE,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,write possible questions and dialogue lines before oral production,,
KET99-P023-PKU07,P023,EXAM_PROCEDURE,EXAM_TASK_PROCEDURE,KET Speaking Part 2 paired-picture timing and procedure,EXAM.KET_SPEAKING_PART2_PROCEDURE,REJECTED_EXAM_PROCEDURE_ONLY,SPEAKING,EXAM_PREPARATION,,NOT_ELIGIBLE,AI_ASSISTED_MANUAL_REVIEWED,PENDING,REJECTED_EXAM_PROCEDURE_ONLY,OFFICIAL_EXAM_FORMAT_VERIFICATION_REQUIRED,two candidates five pictures one question and a timed exchange,,
KET99-P026-PKU01,P026,LEARNER_LANGUAGE,GRAMMAR_FORM,Use adjectives to describe people and things,GRAMMAR.ADJECTIVE_DESCRIPTION,ADMITTED_A1,SPEAKING|WRITING,FOCUS|PRACTICE,GRAMMAR_ADJECTIVE_PHRASES_A1,EXACT_AUTHORITY_JOIN_READY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,adjectives modify nouns or follow be,,
KET99-P026-PKU02,P026,LEARNER_LANGUAGE,LEXICAL_CONCEPT,Contrast dirty and clean,VOCAB.ADJECTIVE_OPPOSITES.DIRTY_CLEAN,ADMITTED_A1,READING|SPEAKING|WRITING,FOCUS|PRACTICE,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,dirty and clean are introduced as opposites,,
KET99-P026-PKU03,P026,LEARNER_LANGUAGE,LEXICAL_CONCEPT,Contrast expensive and cheap,VOCAB.ADJECTIVE_OPPOSITES.EXPENSIVE_CHEAP,ADMITTED_A1,READING|SPEAKING|WRITING,FOCUS|PRACTICE,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,expensive and cheap are paired and used with prices,,
KET99-P026-PKU04,P026,LEARNER_LANGUAGE,LEXICAL_CONCEPT,Distinguish light-dark brightness from light-heavy weight,VOCAB.POLYSEMY.LIGHT_BRIGHTNESS_WEIGHT,ADMITTED_A1_PLUS,READING|SPEAKING,FOCUS|CONTRAST,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,light has bright and not-heavy meanings with different opposites,,
KET99-P026-PKU05,P026,LEARNER_LANGUAGE,LEXICAL_CONCEPT,Use new-old short-long and small-large contrasts,VOCAB.ADJECTIVE_OPPOSITES.COMMON_SIZE_AGE_LENGTH,ADMITTED_A1,READING|SPEAKING|WRITING,FOCUS|PRACTICE,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,common adjective pairs are applied to clothes hair and size,,
KET99-P026-PKU06,P026,LEARNER_SKILL,WRITING_SKILL,Write true descriptive sentences about nearby objects,WRITING.PERSONALIZED_ADJECTIVE_SENTENCES,ADMITTED_A1,WRITING,PRACTICE|TRANSFER,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,observe the room and write true sentences with adjectives,,
KET99-P026-PKU07,P026,TEACHER_METHOD,TEACHING_ROUTINE,Add one false sentence for contrast and self-checking,TEACHING.TRUE_FALSE_PERSONALIZATION_CONTRAST,ADMITTED_A1_PLUS,WRITING|SPEAKING,PRACTICE|ERROR_REPAIR,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,three true sentences and one false sentence make practice checkable,,
